SN,Type,Frame,Setting,Action,Dialgoue,Objective
1,Med,Waist and up,Walking up to the train stop… late at night,Turn towards LI,…“what makes you feel at peace?“,
2,Close,"Revolving pan shot, looking up at faces looking at each other n talking",Downtown,Talking,VO/LI: somewhere I don’t worry about time,
3,Full,"Full body.
Platform forground.
Subjects midground.
Track background.
Perp to tracks.",Subway platform,"LI leaning back against subway column, looking at MC.
Turned partway",,Construct tension and interest
3.1,Full,,Train,"Same as the above, characters getting on the train",,Bring the characters together
4,Close,,Train,"Characters sitting side by side, turned slightly towards each other",,"Aesthetic, but also reset"
4.1,Close,MC Shoulder to Head,,Put in air pod,,MC Outfit Design
4.2,Close,LI Shoulder to Head,,,,LI Outfit Design
5,Long/Tight,Looking from another seat,Train,Both characters jamming,LI: wow,Portray characters close together
6,Wide,"Characters walking through turnstiles.
Sliding camera (digital) opposite to speed up movement",Subway Turnstiles,"MC turn back to say something
LI following through, smiling laughing",,Characters are just staying together and plowing thru scene
,,Cinema Bokeh Transition,,,,
7,Long/Tight,LI shoulders n up,House Street,,TY,
8,Long/Tight,MC shoulders n up,House Street,Waive bye,Bye,
9,Long/Tight,MC shoulders n up,House Street,"Put the airpods back in and walk towards camera but out of frame
Silly grin growing on MC face",,
